Risk, Time, RiskValue, Threat
[System.swmaintenanceerrorrisk1, 1673738165.175025, 0.0, System.swvulnerabilities1]
[System.swmaintenanceerrorrisk2, 1673738167.676158, 0.04, System.swvulnerabilities2]
[System.swmaintenanceerrorrisk3, 1673738171.061585, 0.04, System.swvulnerabilities3]
[System.swmaintenanceerrorrisk4, 1673738173.409676, 0.06, System.swvulnerabilities4]
[System.strategicrisk1, 1673738174.804345, 0.21, System.datamobileattack1]
[System.terrorismattackrisk1, 1673738171.784869, 0.016, System.terrorism1]
[System.swmaintenanceerrorrisk5, 1673738175.896543, 0.04, System.swvulnerabilities5]
[System.swmaintenanceerrorrisk6, 1673738177.20022, 0.02, System.swvulnerabilities6]
[System.swmaintenanceerrorrisk7, 1673738180.07707, 0.06, System.swvulnerabilities7]
[System.swmaintenanceerrorrisk8, 1673738182.069263, 0.06, System.swvulnerabilities8]
[System.swmaintenanceerrorrisk9, 1673738183.829918, 0.06, System.swvulnerabilities9]
[System.strategicrisk2, 1673738184.255198, 0.21, System.datamobileattack2]
[System.terrorismattackrisk2, 1673738183.914423, 0.016, System.terrorism2]
