Anomaly, Time, Type
[System.v1, 1673885372.631956, owl.NamedIndividual]
[System.v1, 1673885372.631956, System.Wired]
[System.v1, 1673885372.631956, System.MalwareDetected]
[System.v1, 1673885372.631956, System.Anomaly]
[System.v2, 1673885373.164586, owl.NamedIndividual]
[System.v2, 1673885373.164586, System.Wired]
[System.v2, 1673885373.164586, System.ZeroTraffic]
[System.v2, 1673885373.164586, System.Anomaly]
[System.v3, 1673885373.172534, owl.NamedIndividual]
[System.v3, 1673885373.172534, System.Wireless]
[System.v3, 1673885373.172534, System.5GAnomaly]
[System.v3, 1673885373.172534, System.Anomaly]
[System.v4, 1673885373.42732, owl.NamedIndividual]
[System.v4, 1673885373.42732, System.Wireless]
[System.v4, 1673885373.42732, System.4GAnomaly]
[System.v4, 1673885373.42732, System.Anomaly]
[System.v5, 1673885374.424956, owl.NamedIndividual]
[System.v5, 1673885374.424956, System.Wireless]
[System.v5, 1673885374.424956, System.3GAnomaly]
[System.v5, 1673885374.424956, System.Anomaly]
[System.v6, 1673885374.42676, owl.NamedIndividual]
[System.v6, 1673885374.42676, System.Wired]
[System.v6, 1673885374.42676, System.MalwareDetected]
[System.v6, 1673885374.42676, System.Anomaly]
[System.v7, 1673885375.117806, owl.NamedIndividual]
[System.v7, 1673885375.117806, System.Wired]
[System.v7, 1673885375.117806, System.ZeroTraffic]
[System.v7, 1673885375.117806, System.Anomaly]
[System.v8, 1673885375.692379, owl.NamedIndividual]
[System.v8, 1673885375.692379, System.Wireless]
[System.v8, 1673885375.692379, System.5GAnomaly]
[System.v8, 1673885375.692379, System.Anomaly]
[System.v9, 1673885376.207693, owl.NamedIndividual]
[System.v9, 1673885376.207693, System.Wireless]
[System.v9, 1673885376.207693, System.4GAnomaly]
[System.v9, 1673885376.207693, System.Anomaly]
[System.v11, 1673885377.047135, owl.NamedIndividual]
[System.v11, 1673885377.047135, System.Wired]
[System.v11, 1673885377.047135, System.DataDownloaded]
[System.v11, 1673885377.047135, System.Anomaly]
[System.v12, 1673885377.296382, owl.NamedIndividual]
[System.v12, 1673885377.296382, System.Wired]
[System.v12, 1673885377.296382, System.ZeroTraffic]
[System.v12, 1673885377.296382, System.Anomaly]
[System.v13, 1673885378.209585, owl.NamedIndividual]
[System.v13, 1673885378.209585, System.Wireless]
[System.v13, 1673885378.209585, System.5GAnomaly]
[System.v13, 1673885378.209585, System.Anomaly]
[System.v14, 1673885379.046532, owl.NamedIndividual]
[System.v14, 1673885379.046532, System.Wireless]
[System.v14, 1673885379.046532, System.4GAnomaly]
[System.v14, 1673885379.046532, System.Anomaly]
[System.v15, 1673885379.87164, owl.NamedIndividual]
[System.v15, 1673885379.87164, System.Wireless]
[System.v15, 1673885379.87164, System.3GAnomaly]
[System.v15, 1673885379.87164, System.Anomaly]
[System.v16, 1673885380.678244, owl.NamedIndividual]
[System.v16, 1673885380.678244, System.Wired]
[System.v16, 1673885380.678244, System.MalwareDetected]
[System.v16, 1673885380.678244, System.Anomaly]
[System.v17, 1673885381.080654, owl.NamedIndividual]
[System.v17, 1673885381.080654, System.Wired]
[System.v17, 1673885381.080654, System.ZeroTraffic]
[System.v17, 1673885381.080654, System.Anomaly]
[System.v18, 1673885381.225599, owl.NamedIndividual]
[System.v18, 1673885381.225599, System.Wireless]
[System.v18, 1673885381.225599, System.5GAnomaly]
[System.v18, 1673885381.225599, System.Anomaly]
[System.v19, 1673885381.767938, owl.NamedIndividual]
[System.v19, 1673885381.767938, System.Wireless]
[System.v19, 1673885381.767938, System.4GAnomaly]
[System.v19, 1673885381.767938, System.Anomaly]
[System.v21, 1673885382.510858, owl.NamedIndividual]
[System.v21, 1673885382.510858, System.Wired]
[System.v21, 1673885382.510858, System.MalwareDetected]
[System.v21, 1673885382.510858, System.Anomaly]
[System.v22, 1673885382.819101, owl.NamedIndividual]
[System.v22, 1673885382.819101, System.Wired]
[System.v22, 1673885382.819101, System.DataDownloaded]
[System.v22, 1673885382.819101, System.Anomaly]
[System.v23, 1673885382.9561, owl.NamedIndividual]
[System.v23, 1673885382.9561, System.Wireless]
[System.v23, 1673885382.9561, System.5GAnomaly]
[System.v23, 1673885382.9561, System.Anomaly]
[System.v24, 1673885383.930556, owl.NamedIndividual]
[System.v24, 1673885383.930556, System.Wireless]
[System.v24, 1673885383.930556, System.4GAnomaly]
[System.v24, 1673885383.930556, System.Anomaly]
[System.v2, 1673885373.164586, owl.NamedIndividual]
[System.v2, 1673885373.164586, System.Wired]
[System.v2, 1673885373.164586, System.ZeroTraffic]
[System.v2, 1673885373.164586, System.Anomaly]
[System.v3, 1673885373.172534, owl.NamedIndividual]
[System.v3, 1673885373.172534, System.Wireless]
[System.v3, 1673885373.172534, System.5GAnomaly]
[System.v3, 1673885373.172534, System.Anomaly]
[System.v4, 1673885373.42732, owl.NamedIndividual]
[System.v4, 1673885373.42732, System.Wireless]
[System.v4, 1673885373.42732, System.4GAnomaly]
[System.v4, 1673885373.42732, System.Anomaly]
[System.v5, 1673885374.424956, owl.NamedIndividual]
[System.v5, 1673885374.424956, System.Wireless]
[System.v5, 1673885374.424956, System.3GAnomaly]
[System.v5, 1673885374.424956, System.Anomaly]
[System.v7, 1673885375.117806, owl.NamedIndividual]
[System.v7, 1673885375.117806, System.Wired]
[System.v7, 1673885375.117806, System.ZeroTraffic]
[System.v7, 1673885375.117806, System.Anomaly]
[System.v8, 1673885375.692379, owl.NamedIndividual]
[System.v8, 1673885375.692379, System.Wireless]
[System.v8, 1673885375.692379, System.5GAnomaly]
[System.v8, 1673885375.692379, System.Anomaly]
[System.v9, 1673885376.207693, owl.NamedIndividual]
[System.v9, 1673885376.207693, System.Wireless]
[System.v9, 1673885376.207693, System.4GAnomaly]
[System.v9, 1673885376.207693, System.Anomaly]
[System.v12, 1673885377.296382, owl.NamedIndividual]
[System.v12, 1673885377.296382, System.Wired]
[System.v12, 1673885377.296382, System.ZeroTraffic]
[System.v12, 1673885377.296382, System.Anomaly]
[System.v13, 1673885378.209585, owl.NamedIndividual]
[System.v13, 1673885378.209585, System.Wireless]
[System.v13, 1673885378.209585, System.5GAnomaly]
[System.v13, 1673885378.209585, System.Anomaly]
[System.v14, 1673885379.046532, owl.NamedIndividual]
[System.v14, 1673885379.046532, System.Wireless]
[System.v14, 1673885379.046532, System.4GAnomaly]
[System.v14, 1673885379.046532, System.Anomaly]
[System.v15, 1673885379.87164, owl.NamedIndividual]
[System.v15, 1673885379.87164, System.Wireless]
[System.v15, 1673885379.87164, System.3GAnomaly]
[System.v15, 1673885379.87164, System.Anomaly]
[System.v17, 1673885381.080654, owl.NamedIndividual]
[System.v17, 1673885381.080654, System.Wired]
[System.v17, 1673885381.080654, System.ZeroTraffic]
[System.v17, 1673885381.080654, System.Anomaly]
[System.v18, 1673885381.225599, owl.NamedIndividual]
[System.v18, 1673885381.225599, System.Wireless]
[System.v18, 1673885381.225599, System.5GAnomaly]
[System.v18, 1673885381.225599, System.Anomaly]
[System.v19, 1673885381.767938, owl.NamedIndividual]
[System.v19, 1673885381.767938, System.Wireless]
[System.v19, 1673885381.767938, System.4GAnomaly]
[System.v19, 1673885381.767938, System.Anomaly]
[System.v23, 1673885382.9561, owl.NamedIndividual]
[System.v23, 1673885382.9561, System.Wireless]
[System.v23, 1673885382.9561, System.5GAnomaly]
[System.v23, 1673885382.9561, System.Anomaly]
[System.v24, 1673885383.930556, owl.NamedIndividual]
[System.v24, 1673885383.930556, System.Wireless]
[System.v24, 1673885383.930556, System.4GAnomaly]
[System.v24, 1673885383.930556, System.Anomaly]
[System.v25, 1673885384.825394, owl.NamedIndividual]
[System.v25, 1673885384.825394, System.Wireless]
[System.v25, 1673885384.825394, System.3GAnomaly]
[System.v25, 1673885384.825394, System.Anomaly]
[System.v26, 1673885384.833153, owl.NamedIndividual]
[System.v26, 1673885384.833153, System.Wired]
[System.v26, 1673885384.833153, System.MalwareDetected]
[System.v26, 1673885384.833153, System.Anomaly]
[System.v27, 1673885385.14394, owl.NamedIndividual]
[System.v27, 1673885385.14394, System.Wired]
[System.v27, 1673885385.14394, System.ZeroTraffic]
[System.v27, 1673885385.14394, System.Anomaly]
[System.v28, 1673885385.31024, owl.NamedIndividual]
[System.v28, 1673885385.31024, System.Wireless]
[System.v28, 1673885385.31024, System.5GAnomaly]
[System.v28, 1673885385.31024, System.Anomaly]
[System.v29, 1673885385.873722, owl.NamedIndividual]
[System.v29, 1673885385.873722, System.Wireless]
[System.v29, 1673885385.873722, System.4GAnomaly]
[System.v29, 1673885385.873722, System.Anomaly]
[System.v31, 1673885386.857616, owl.NamedIndividual]
[System.v31, 1673885386.857616, System.Wired]
[System.v31, 1673885386.857616, System.MalwareDetected]
[System.v31, 1673885386.857616, System.Anomaly]
[System.v32, 1673885386.923372, owl.NamedIndividual]
[System.v32, 1673885386.923372, System.Wired]
[System.v32, 1673885386.923372, System.ZeroTraffic]
[System.v32, 1673885386.923372, System.Anomaly]
[System.v33, 1673885387.052064, owl.NamedIndividual]
[System.v33, 1673885387.052064, System.Wired]
[System.v33, 1673885387.052064, System.DataDownloaded]
[System.v33, 1673885387.052064, System.Anomaly]
[System.v34, 1673885387.331933, owl.NamedIndividual]
[System.v34, 1673885387.331933, System.Wireless]
[System.v34, 1673885387.331933, System.4GAnomaly]
[System.v34, 1673885387.331933, System.Anomaly]
[System.v35, 1673885387.508694, owl.NamedIndividual]
[System.v35, 1673885387.508694, System.Wireless]
[System.v35, 1673885387.508694, System.3GAnomaly]
[System.v35, 1673885387.508694, System.Anomaly]
[System.v36, 1673885388.363216, owl.NamedIndividual]
[System.v36, 1673885388.363216, System.Wired]
[System.v36, 1673885388.363216, System.MalwareDetected]
[System.v36, 1673885388.363216, System.Anomaly]
[System.v37, 1673885388.526018, owl.NamedIndividual]
[System.v37, 1673885388.526018, System.Wired]
[System.v37, 1673885388.526018, System.ZeroTraffic]
[System.v37, 1673885388.526018, System.Anomaly]
[System.v38, 1673885389.193034, owl.NamedIndividual]
[System.v38, 1673885389.193034, System.Wireless]
[System.v38, 1673885389.193034, System.5GAnomaly]
[System.v38, 1673885389.193034, System.Anomaly]
[System.v39, 1673885389.567256, owl.NamedIndividual]
[System.v39, 1673885389.567256, System.Wireless]
[System.v39, 1673885389.567256, System.4GAnomaly]
[System.v39, 1673885389.567256, System.Anomaly]
[System.v41, 1673885390.584242, owl.NamedIndividual]
[System.v41, 1673885390.584242, System.Wired]
[System.v41, 1673885390.584242, System.MalwareDetected]
[System.v41, 1673885390.584242, System.Anomaly]
[System.v42, 1673885391.239623, owl.NamedIndividual]
[System.v42, 1673885391.239623, System.Wired]
[System.v42, 1673885391.239623, System.ZeroTraffic]
[System.v42, 1673885391.239623, System.Anomaly]
[System.v43, 1673885391.889929, owl.NamedIndividual]
[System.v43, 1673885391.889929, System.Wireless]
[System.v43, 1673885391.889929, System.5GAnomaly]
[System.v43, 1673885391.889929, System.Anomaly]
[System.v44, 1673885392.553314, owl.NamedIndividual]
[System.v44, 1673885392.553314, System.Wired]
[System.v44, 1673885392.553314, System.DataDownloaded]
[System.v44, 1673885392.553314, System.Anomaly]
[System.v45, 1673885392.786565, owl.NamedIndividual]
